standard,nUsers,trafficType,packetSize,totalThroughputMbps,avgDelayMs,jainFairness,packetDropRate
ax,16,medium,1500,34.6447,99.0956,0.476574,0.577109
ac,16,medium,1500,33.9779,126.344,0.478998,0.586708
ax,16,high,1500,251.149,2905.29,0.983937,0.694689
ac,16,high,1500,211.356,3018.87,0.959681,0.745073
ax,16,high,1500,160.854,3224.73,0.965837,0.80694
ac,16,high,1500,155.112,3259.05,0.972874,0.812493
ax,16,high,1500,37.5192,3298.48,0.963135,0.954867
ac,16,high,1500,34.663,3257.7,0.917071,0.958584
ax,16,high,1500,144.123,2157.49,0.387706,0.826009
ac,16,high,1500,147.386,1964.22,0.368019,0.820951
ax,1,high,124,61.2829,0.213694,1,0.000136896
ac,1,high,124,61.2831,0.193401,1,0.000121024
