time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,313.582
2.2,322.841
2.3,326.085
2.4,327.527
2.5,328.689
2.6,328.736
2.7,329.028
2.8,329.101
2.9,329.263
3,329.177
3.1,329.419
3.2,329.568
3.3,329.893
3.4,329.975
3.5,329.871
3.6,329.944
3.7,329.786
3.8,329.892
3.9,330.042
4,330.223
4.1,330.28
4.2,330.294
4.3,330.369
4.4,330.393
4.5,330.37
4.6,330.321
4.7,330.416
4.8,330.462
4.9,330.325
5,330.323
5.1,330.337
5.2,330.319
5.3,330.368
5.4,330.435
5.5,330.435
5.6,330.469
5.7,330.377
5.8,330.479
5.9,330.512
6,330.501
6.1,330.525
6.2,330.517
6.3,330.556
6.4,330.518
6.5,330.564
6.6,330.556
6.7,330.527
6.8,330.545
6.9,330.535
7,330.563
7.1,330.57
7.2,330.595
7.3,330.603
7.4,330.609
7.5,330.588
7.6,330.583
7.7,330.562
7.8,330.589
7.9,330.61
8,330.602
8.1,330.603
8.2,330.607
8.3,330.649
8.4,330.683
8.5,330.71
8.6,330.717
8.7,330.702
8.8,330.699
8.9,330.689
9,330.704
9.1,330.714
9.2,330.72
9.3,330.729
9.4,330.738
9.5,330.719
9.6,330.726
9.7,330.729
9.8,330.747
9.9,330.726
10,330.769
10.1,330.733
10.2,330.731
10.3,330.746
10.4,330.7
10.5,330.721
10.6,330.718
10.7,330.73
10.8,330.703
10.9,330.726
11,330.728
11.1,330.723
11.2,330.746
11.3,330.741
11.4,330.741
11.5,330.753
11.6,330.766
11.7,330.76
11.8,330.759
11.9,330.771
