time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,3.43601
2.2,9.60467
2.3,14.342
2.4,17.137
2.5,20.5204
2.6,19.316
2.7,20.1545
2.8,22.6436
2.9,22.7696
3,23.7187
3.1,23.6863
3.2,23.9749
3.3,24.0819
3.4,23.892
3.5,24.5776
3.6,24.3435
3.7,24.4465
3.8,23.5938
3.9,23.1339
4,22.8196
4.1,23.6706
4.2,23.7772
4.3,23.289
4.4,23.9214
4.5,23.2669
4.6,23.1277
4.7,23.4528
4.8,23.4879
4.9,24.0162
5,24.2357
5.1,24.4218
5.2,24.5222
5.3,24.2409
5.4,23.7064
5.5,23.975
5.6,24.0648
5.7,23.8202
5.8,23.8984
5.9,24.0792
6,24.2626
6.1,24.0293
6.2,23.7711
6.3,24.0869
6.4,24.2449
6.5,24.4096
6.6,24.6437
6.7,24.459
6.8,24.7833
6.9,24.6358
7,24.8243
7.1,24.6933
7.2,24.9926
7.3,24.9152
7.4,24.9474
7.5,24.6979
7.6,24.6322
7.7,24.3569
7.8,24.3988
7.9,24.3249
8,24.4383
8.1,24.7765
8.2,24.7844
8.3,24.9197
8.4,25.0182
8.5,24.9258
8.6,24.6688
8.7,24.7863
8.8,24.7669
8.9,24.6723
9,24.7333
9.1,24.6795
9.2,24.7976
9.3,24.7784
9.4,24.8128
9.5,24.3952
9.6,24.6528
9.7,24.6843
9.8,24.6623
9.9,24.7484
10,24.8348
10.1,24.6883
10.2,24.6075
10.3,24.8499
10.4,24.9411
10.5,24.9563
10.6,24.8804
10.7,24.9495
10.8,25.0143
10.9,25.1399
11,24.9909
11.1,24.9886
11.2,25.0254
11.3,24.9824
11.4,25.0437
11.5,25.1004
11.6,25.0798
11.7,25.1182
11.8,25.0125
11.9,24.8663
