time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,160.757
2.2,217.288
2.3,248.277
2.4,251.484
2.5,220.882
2.6,232.254
2.7,244.029
2.8,236.724
2.9,232.384
3,218.127
3.1,222.157
3.2,221.237
3.3,223.058
3.4,230.62
3.5,220.876
3.6,221.078
3.7,220.106
3.8,223.391
3.9,223.363
4,223.113
4.1,226.706
4.2,228.311
4.3,222.689
4.4,220.025
4.5,221.699
4.6,223.69
4.7,224.039
4.8,224.469
4.9,227.396
5,223.2
5.1,222.855
5.2,224.609
5.3,227.277
5.4,225.686
5.5,226.728
5.6,225.634
5.7,226.486
5.8,227.242
5.9,228.036
6,226.12
6.1,226.903
6.2,225.263
6.3,224.09
6.4,223.749
6.5,224.486
6.6,226.252
6.7,224.159
6.8,223.681
6.9,222.906
7,223.807
7.1,223.476
7.2,223.204
7.3,223.287
7.4,223.89
7.5,223.487
7.6,224.073
7.7,222.542
7.8,221.154
7.9,221.297
8,221.812
8.1,222.888
8.2,222.797
8.3,224.491
8.4,224.903
8.5,225.058
8.6,225.529
8.7,226.388
8.8,227.434
8.9,226.211
9,223.224
9.1,222.765
9.2,221.795
9.3,222.15
9.4,222.437
9.5,222.32
9.6,222.922
9.7,223.824
9.8,223.209
9.9,223.354
10,224.278
10.1,224.438
10.2,223.977
10.3,224.174
10.4,224.297
10.5,225.478
10.6,225.743
10.7,226.593
10.8,224.926
10.9,224.894
11,224.796
11.1,224.905
11.2,225.261
11.3,223.845
11.4,224.496
11.5,224.977
11.6,225.346
11.7,225.394
11.8,225.498
11.9,225.514
