time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,14.9474
2.2,22.1081
2.3,17.2802
2.4,27.34
2.5,29.4581
2.6,34.5194
2.7,33.1175
2.8,35.2794
2.9,35.8156
3,36.7707
3.1,35.3742
3.2,34.7596
3.3,35.4462
3.4,35.1919
3.5,34.1272
3.6,33.6628
3.7,33.3246
3.8,34.2747
3.9,34.7887
4,34.5087
4.1,34.7779
4.2,34.6088
4.3,35.1286
4.4,35.1788
4.5,35.3932
4.6,35.4063
4.7,35.133
4.8,35.5577
4.9,35.2666
5,35.8207
5.1,35.4479
5.2,33.6307
5.3,33.9988
5.4,34.846
5.5,35.1766
5.6,35.1719
5.7,35.1139
5.8,35.2036
5.9,35.5728
6,35.6056
6.1,35.5467
6.2,35.9213
6.3,35.5785
6.4,35.5302
6.5,33.9258
6.6,33.6671
6.7,33.7182
6.8,33.9234
6.9,33.8336
7,33.8391
7.1,33.6337
7.2,33.5493
7.3,33.9366
7.4,33.94
7.5,34.2827
7.6,34.0512
7.7,34.0338
7.8,33.6313
7.9,34.0433
8,34.3944
8.1,34.5225
8.2,34.4131
8.3,34.2383
8.4,34.0929
8.5,34.1419
8.6,34.2906
8.7,34.2319
8.8,34.2026
8.9,34.349
9,34.1515
9.1,34.2626
9.2,34.1909
9.3,34.0571
9.4,34.1531
9.5,34.4897
9.6,34.5895
9.7,34.6617
9.8,34.5211
9.9,34.5328
10,34.6305
10.1,34.3658
10.2,34.3861
10.3,34.5656
10.4,34.7514
10.5,34.4288
10.6,34.0635
10.7,34.3047
10.8,34.5469
10.9,34.5121
11,34.5789
11.1,34.621
11.2,34.6116
11.3,34.7662
11.4,34.8616
11.5,35.0341
11.6,34.9664
11.7,34.8912
11.8,34.9503
11.9,34.9975
