time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,113.718
2.2,124
2.3,123.756
2.4,118.191
2.5,118.216
2.6,117.268
2.7,117.251
2.8,112.773
2.9,110.94
3,111.688
3.1,111.265
3.2,112.688
3.3,114.733
3.4,114.563
3.5,114.989
3.6,115.151
3.7,116.859
3.8,115.113
3.9,115.101
4,116.573
4.1,117.093
4.2,116.331
4.3,116.44
4.4,117.478
4.5,114.845
4.6,115.586
4.7,115.715
4.8,115.377
4.9,115.875
5,115.592
5.1,115.224
5.2,114.393
5.3,113.977
5.4,114.098
5.5,114.309
5.6,113.987
5.7,114.896
5.8,115.017
5.9,114.371
6,114.743
6.1,114.967
6.2,114.878
6.3,115.955
6.4,115.553
6.5,115.025
6.6,115.598
6.7,115.661
6.8,114.426
6.9,114.627
7,114.261
7.1,114.106
7.2,114.457
7.3,114.603
7.4,114.875
7.5,114.633
7.6,114.48
7.7,115.169
7.8,114.999
7.9,114.555
8,114.378
8.1,114.543
8.2,114.688
8.3,114.708
8.4,115.146
8.5,114.69
8.6,114.659
8.7,114.736
8.8,114.699
8.9,114.946
9,115.202
9.1,114.621
9.2,114.608
9.3,114.778
9.4,115.063
9.5,114.769
9.6,114.47
9.7,114.523
9.8,114.393
9.9,114.437
10,114.128
10.1,114.445
10.2,114.273
10.3,114.393
10.4,114.232
10.5,114.511
10.6,114.483
10.7,114.325
10.8,114.092
10.9,114.16
11,114.401
11.1,114.457
11.2,114.406
11.3,114.21
11.4,114.292
11.5,114.256
11.6,114.061
11.7,114.265
11.8,114.084
11.9,114.157
