time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,57.2816
2.2,70.818
2.3,74.4189
2.4,76.1848
2.5,77.2987
2.6,77.9722
2.7,78.4657
2.8,78.9904
2.9,79.158
3,78.4118
3.1,79.6855
3.2,79.7445
3.3,79.7926
3.4,80.1008
3.5,80.0612
3.6,79.9447
3.7,80.1409
3.8,80.4061
3.9,80.4526
4,80.4626
4.1,80.5072
4.2,80.5989
4.3,80.644
4.4,80.5175
4.5,80.572
4.6,80.7439
4.7,80.63
4.8,80.7568
4.9,80.7755
5,80.8162
5.1,80.8664
5.2,80.7801
5.3,80.889
5.4,80.6972
5.5,80.935
5.6,80.859
5.7,80.9271
5.8,80.9702
5.9,80.9889
6,81.0078
6.1,81.0085
6.2,81.0233
6.3,81.0312
6.4,81.0421
6.5,81.0237
6.6,81.0501
6.7,81.0817
6.8,80.9468
6.9,81.093
7,81.0785
7.1,81.1058
7.2,81.076
7.3,81.1217
7.4,81.0491
7.5,81.1001
7.6,81.1473
7.7,81.018
7.8,81.1597
7.9,81.0725
8,81.1188
8.1,81.1625
8.2,81.1814
8.3,81.0813
8.4,81.1914
8.5,81.1971
8.6,81.1994
8.7,81.1833
8.8,81.2079
8.9,81.214
9,81.1004
9.1,81.2079
9.2,81.1416
9.3,81.1919
9.4,81.227
9.5,81.235
9.6,81.2397
9.7,81.1966
9.8,81.2188
9.9,81.2494
10,81.2504
10.1,81.246
10.2,81.2566
10.3,81.263
10.4,81.2635
10.5,81.2667
10.6,81.2686
10.7,81.2657
10.8,81.2585
10.9,81.275
11,81.2624
11.1,81.27
11.2,81.2619
11.3,81.2848
11.4,81.2725
11.5,81.2861
11.6,81.2083
11.7,81.2908
11.8,81.2946
11.9,81.2937
