time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,111.114
2.2,171.099
2.3,181.06
2.4,199.733
2.5,214.316
2.6,206.799
2.7,223.15
2.8,229.642
2.9,217.54
3,216.246
3.1,224.48
3.2,221.819
3.3,223.928
3.4,222.85
3.5,219.543
3.6,220.856
3.7,216.142
3.8,212.481
3.9,209.482
4,213.657
4.1,206.071
4.2,196.947
4.3,199.502
4.4,188.629
4.5,184.924
4.6,186.244
4.7,186.275
4.8,186.193
4.9,187.298
5,180.841
5.1,181.62
5.2,180.944
5.3,179.082
5.4,179.571
5.5,180.003
5.6,176.327
5.7,177.735
5.8,174.594
5.9,174.829
6,174.627
6.1,172.738
6.2,171.625
6.3,172.81
6.4,173.862
6.5,172.598
6.6,169.846
6.7,168.134
6.8,168.224
6.9,168.254
7,169.221
7.1,170.314
7.2,168.974
7.3,170.025
7.4,170.616
7.5,168.18
7.6,168.217
7.7,168.333
7.8,167.629
7.9,166.53
8,167.227
8.1,166.895
8.2,165.767
8.3,166.679
8.4,166.432
8.5,166.699
8.6,166.013
8.7,164.951
8.8,164.135
8.9,163.94
9,163.556
9.1,164.181
9.2,164.061
9.3,164.417
9.4,164.124
9.5,164.902
9.6,166.142
9.7,166.13
9.8,166.673
9.9,166.29
10,164.983
10.1,165.346
10.2,165.67
10.3,162.101
10.4,161.882
10.5,162.119
10.6,161.935
10.7,162.085
10.8,162.72
10.9,161.619
11,161.679
11.1,162.313
11.2,161.946
11.3,161.489
11.4,162.277
11.5,161.279
11.6,161.282
11.7,161.44
11.8,160.682
11.9,160.26
