time_s,totalThroughputMbps
0,0
0.5,0
1,0
1.5,0
2,0
2.5,227.912
3,239.897
3.5,238.552
4,239.343
4.5,248.642
5,242.973
5.5,239.085
6,240.04
6.5,240.708
7,246.179
7.5,241.145
8,241.713
8.5,243.776
9,242.177
9.5,241.924
10,243.976
10.5,243.426
11,245.21
11.5,244.186
12,243.162
12.5,244.407
13,244.141
13.5,243.449
14,243.42
14.5,243.809
15,243.735
15.5,243.851
16,243.28
16.5,244.42
17,243.777
17.5,244.151
18,244.458
18.5,244.283
19,244.314
19.5,244.964
20,244.718
20.5,244.663
21,244.521
21.5,246.53
22,246.363
22.5,244.69
23,244.894
23.5,245.654
24,245.989
24.5,246.506
25,245.67
25.5,245.998
26,247.092
26.5,246.481
27,246.34
27.5,246.613
28,247.373
28.5,246.517
29,245.95
29.5,245.769
30,246.49
30.5,246.287
31,246.071
31.5,245.967
32,246.075
32.5,245.751
33,246.708
33.5,246.118
34,246.022
34.5,246.324
35,246.142
35.5,246.353
36,245.95
36.5,246.002
37,245.988
37.5,245.829
38,245.831
38.5,246.806
39,245.771
39.5,246.086
40,246.215
40.5,246.245
41,246.021
41.5,245.94
42,246.083
42.5,246.476
43,245.854
43.5,246.557
44,245.8
44.5,245.785
45,246.03
45.5,245.871
46,245.767
46.5,245.985
47,245.836
47.5,245.607
48,246.092
48.5,245.669
49,245.987
49.5,245.817
50,245.899
50.5,246.187
51,245.904
51.5,245.921
52,245.883
52.5,245.865
53,245.851
53.5,245.973
54,245.907
54.5,246.045
55,246.156
55.5,246.059
56,245.974
56.5,246.254
57,246.203
57.5,246.139
58,246.202
58.5,246.323
59,246.074
59.5,246.129
60,246.064
60.5,246.114
61,246.021
61.5,246.08
