time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,320.236
2.2,329.811
2.3,332.945
2.4,334.644
2.5,335.502
2.6,335.782
2.7,335.969
2.8,336.043
2.9,336.157
3,336.183
3.1,336.331
3.2,336.601
3.3,336.906
3.4,336.916
3.5,336.856
3.6,336.808
3.7,336.747
3.8,336.92
3.9,337.104
4,337.253
4.1,337.089
4.2,337.158
4.3,337.173
4.4,337.17
4.5,337.185
4.6,337.203
4.7,337.239
4.8,337.153
4.9,337.108
5,337.154
5.1,337.152
5.2,337.244
5.3,337.327
5.4,337.351
5.5,337.398
5.6,337.33
5.7,337.365
5.8,337.423
5.9,337.416
6,337.424
6.1,337.422
6.2,337.464
6.3,337.462
6.4,337.509
6.5,337.47
6.6,337.443
6.7,337.451
6.8,337.454
6.9,337.488
7,337.503
7.1,337.519
7.2,337.53
7.3,337.511
7.4,337.516
7.5,337.535
7.6,337.535
7.7,337.53
7.8,337.586
7.9,337.559
8,337.556
8.1,337.593
8.2,337.609
8.3,337.671
8.4,337.665
8.5,337.664
8.6,337.631
8.7,337.604
8.8,337.624
8.9,337.634
9,337.644
9.1,337.672
9.2,337.668
9.3,337.654
9.4,337.629
9.5,337.66
9.6,337.656
9.7,337.643
9.8,337.674
9.9,337.643
10,337.655
10.1,337.666
10.2,337.63
10.3,337.652
10.4,337.671
10.5,337.672
10.6,337.652
10.7,337.666
10.8,337.687
10.9,337.673
11,337.681
11.1,337.674
11.2,337.672
11.3,337.686
11.4,337.689
11.5,337.675
11.6,337.665
11.7,337.684
11.8,337.677
11.9,337.677
