time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,5.14358
2.2,14.8198
2.3,18.4543
2.4,18.7772
2.5,24.672
2.6,25.9744
2.7,26.1428
2.8,27.6243
2.9,24.1862
3,25.8539
3.1,27.0422
3.2,25.8035
3.3,27.2644
3.4,26.2446
3.5,26.5511
3.6,26.2609
3.7,25.432
3.8,25.9384
3.9,25.6737
4,25.9529
4.1,25.5921
4.2,25.1486
4.3,25.5614
4.4,25.4938
4.5,25.7243
4.6,26.2728
4.7,26.1297
4.8,26.605
4.9,26.5991
5,27.0419
5.1,26.4595
5.2,25.9931
5.3,25.7977
5.4,25.7009
5.5,25.4937
5.6,25.5881
5.7,25.4773
5.8,25.1381
5.9,25.4423
6,25.6855
6.1,26.0096
6.2,26.4179
6.3,26.8865
6.4,26.8911
6.5,26.1635
6.6,26.128
6.7,26.2888
6.8,25.8848
6.9,26.0502
7,26.3251
7.1,26.2615
7.2,26.413
7.3,26.3512
7.4,26.2129
7.5,26.0734
7.6,26.4122
7.7,26.3801
7.8,26.4577
7.9,26.4665
8,26.4075
8.1,26.386
8.2,26.6819
8.3,26.2054
8.4,26.339
8.5,26.292
8.6,26.1629
8.7,26.4071
8.8,26.2343
8.9,26.1491
9,26.076
9.1,26.3846
9.2,26.3507
9.3,26.3514
9.4,26.4316
9.5,26.4411
9.6,26.4663
9.7,26.4231
9.8,26.4099
9.9,26.4492
10,26.5836
10.1,26.4477
10.2,26.5822
10.3,26.6166
10.4,26.236
10.5,26.3307
10.6,26.3705
10.7,26.517
10.8,26.3769
10.9,26.5353
11,26.5326
11.1,26.6698
11.2,26.8788
11.3,26.735
11.4,26.7447
11.5,26.8484
11.6,26.7229
11.7,26.8033
11.8,26.7513
11.9,26.7574
