time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,209.002
2.2,257.378
2.3,283.418
2.4,249.494
2.5,256.812
2.6,264.926
2.7,266.206
2.8,232.68
2.9,238.97
3,241.383
3.1,245.508
3.2,244.322
3.3,247.324
3.4,252.13
3.5,253.232
3.6,253.773
3.7,248.952
3.8,245.568
3.9,235.47
4,235.606
4.1,237.692
4.2,234.063
4.3,231.25
4.4,231.937
4.5,233.101
4.6,234.193
4.7,234.27
4.8,237.625
4.9,234.222
5,236.49
5.1,235.474
5.2,236.401
5.3,234.94
5.4,235.126
5.5,237.612
5.6,238.076
5.7,236.504
5.8,241.093
5.9,240.44
6,241.716
6.1,243.334
6.2,244.549
6.3,243.171
6.4,235.378
6.5,235.184
6.6,236.711
6.7,236.759
6.8,237.013
6.9,237.331
7,238.812
7.1,240.55
7.2,239.055
7.3,236.663
7.4,233.857
7.5,231.894
7.6,231.692
7.7,233.081
7.8,232.478
7.9,231.705
8,232.304
8.1,231.727
8.2,233.076
8.3,231.643
8.4,232.461
8.5,232.83
8.6,233.792
8.7,233.786
8.8,233.877
8.9,235.094
9,232.666
9.1,233.209
9.2,232.805
9.3,232.589
9.4,233.438
9.5,233.898
9.6,233.732
9.7,233.574
9.8,233.444
9.9,233.231
10,232.481
10.1,233.548
10.2,231.739
10.3,231.417
10.4,231.878
10.5,231.594
10.6,232.432
10.7,232.019
10.8,232.431
10.9,232.968
11,232.788
11.1,230.985
11.2,231.076
11.3,231.038
11.4,231.155
11.5,231.876
11.6,232.981
11.7,233.838
11.8,233.637
11.9,232.916
