time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,48.8362
2.2,40.0146
2.3,63.2058
2.4,70.4691
2.5,53.6717
2.6,53.8971
2.7,60.2162
2.8,57.3157
2.9,59.8179
3,56.8526
3.1,53.331
3.2,53.4045
3.3,52.2679
3.4,52.2605
3.5,52.2093
3.6,51.2152
3.7,50.4894
3.8,50.8406
3.9,51.6274
4,51.9051
4.1,50.5463
4.2,52.0166
4.3,51.7685
4.4,49.526
4.5,52.03
4.6,51.8518
4.7,51.5297
4.8,50.4109
4.9,49.182
5,48.8161
5.1,48.7159
5.2,49.0758
5.3,48.7378
5.4,47.5393
5.5,47.3363
5.6,47.443
5.7,47.8186
5.8,47.3175
5.9,47.0933
6,46.467
6.1,45.8792
6.2,46.5983
6.3,44.9847
6.4,44.7699
6.5,44.6472
6.6,44.9125
6.7,44.044
6.8,44.3467
6.9,43.8419
7,43.6598
7.1,43.1028
7.2,42.9349
7.3,42.5767
7.4,42.6907
7.5,42.6063
7.6,42.0235
7.7,41.8528
7.8,41.9671
7.9,42.0899
8,42.1926
8.1,42.4034
8.2,42.6081
8.3,41.3905
8.4,41.6488
8.5,41.356
8.6,41.1906
8.7,41.2835
8.8,41.3957
8.9,41.4859
9,40.8798
9.1,40.8058
9.2,40.8729
9.3,41.0818
9.4,40.9584
9.5,41.0348
9.6,40.9849
9.7,40.9862
9.8,40.5587
9.9,40.5616
10,40.3013
10.1,40.3333
10.2,40.3685
10.3,40.4393
10.4,40.4315
10.5,40.5338
10.6,40.4179
10.7,40.4018
10.8,40.0758
10.9,40.1527
11,40.1205
11.1,40.0479
11.2,40.0736
11.3,40.0297
11.4,40.2934
11.5,40.3474
11.6,40.1043
11.7,40.0543
11.8,40.1556
11.9,39.9731
