time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,173.156
2.2,219.987
2.3,207.522
2.4,206.789
2.5,209.112
2.6,202.294
2.7,204.148
2.8,188.372
2.9,188.213
3,190.575
3.1,186.757
3.2,182.81
3.3,191.01
3.4,192.636
3.5,181.562
3.6,186.891
3.7,190.642
3.8,183.961
3.9,186.711
4,181.841
4.1,186.136
4.2,184.539
4.3,183.862
4.4,185.359
4.5,183.511
4.6,182.068
4.7,185.655
4.8,179.801
4.9,180.433
5,180.988
5.1,184.328
5.2,179.86
5.3,179.247
5.4,178.827
5.5,179.966
5.6,179.961
5.7,181.186
5.8,180.167
5.9,177.964
6,177.953
6.1,178.545
6.2,179.996
6.3,179.573
6.4,179.014
6.5,180.345
6.6,179.99
6.7,181.313
6.8,182.379
6.9,181.631
7,183.179
7.1,183.308
7.2,180.58
7.3,181.571
7.4,179.746
7.5,179.718
7.6,180.239
7.7,179.613
7.8,181.08
7.9,180.021
8,181.372
8.1,181.004
8.2,180.592
8.3,181.325
8.4,182.245
8.5,182.628
8.6,182.078
8.7,180.932
8.8,181.091
8.9,181.631
9,181.998
9.1,180.475
9.2,180.547
9.3,180.139
9.4,180.167
9.5,179.938
9.6,180.707
9.7,180.696
9.8,179.892
9.9,179.984
10,179.412
10.1,180.021
10.2,180.323
10.3,181.17
10.4,181.079
10.5,181.489
10.6,180.806
10.7,180.687
10.8,180.565
10.9,179.95
11,180.257
11.1,180.324
11.2,180.686
11.3,180.676
11.4,181.018
11.5,181.977
11.6,182.816
11.7,181.746
11.8,182.255
11.9,179.907
