time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,49.3749
2.2,64.7208
2.3,71.6956
2.4,74.7468
2.5,76.1774
2.6,76.5567
2.7,77.7252
2.8,78.1119
2.9,77.6146
3,78.8841
3.1,78.7019
3.2,79.3296
3.3,78.987
3.4,79.5166
3.5,79.479
3.6,79.8886
3.7,79.9534
3.8,79.8755
3.9,80.0979
4,80.1993
4.1,80.2491
4.2,80.3288
4.3,80.3237
4.4,80.387
4.5,80.4571
4.6,80.247
4.7,80.4427
4.8,80.4794
4.9,80.6066
5,80.5671
5.1,80.5161
5.2,80.6016
5.3,80.6429
5.4,80.6747
5.5,80.6775
5.6,80.7782
5.7,80.8033
5.8,80.817
5.9,80.8294
6,80.8406
6.1,80.8492
6.2,80.863
6.3,80.8964
6.4,80.86
6.5,80.8604
6.6,80.9079
6.7,80.9021
6.8,80.8865
6.9,80.9713
7,80.9812
7.1,80.8531
7.2,80.9909
7.3,81.0101
7.4,81.021
7.5,81.0136
7.6,81.0331
7.7,81.0227
7.8,81.0466
7.9,81.0578
8,81.0238
8.1,81.0671
8.2,81.0463
8.3,80.999
8.4,81.0266
8.5,81.0117
8.6,81.1067
8.7,81.0754
8.8,81.104
8.9,81.108
9,81.1243
9.1,81.1074
9.2,81.101
9.3,81.0967
9.4,81.1433
9.5,81.1359
9.6,81.1449
9.7,81.1592
9.8,81.1537
9.9,81.1032
10,81.1702
10.1,81.1601
10.2,81.1727
10.3,81.1583
10.4,81.1736
10.5,81.1938
10.6,81.1341
10.7,81.1986
10.8,81.144
10.9,81.2045
11,81.0818
11.1,81.2138
11.2,81.2141
11.3,81.216
11.4,81.2201
11.5,81.2255
11.6,81.2228
11.7,81.2258
11.8,81.2282
11.9,81.1451
