time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,98.7656
2.2,100.328
2.3,100.85
2.4,101.122
2.5,101.261
2.6,101.364
2.7,101.418
2.8,101.466
2.9,101.516
3,101.564
3.1,101.533
3.2,101.605
3.3,101.634
3.4,101.6
3.5,101.647
3.6,101.676
3.7,101.692
3.8,101.693
3.9,101.701
4,101.712
4.1,101.715
4.2,101.723
4.3,101.734
4.4,101.739
4.5,101.743
4.6,101.752
4.7,101.756
4.8,101.758
4.9,101.761
5,101.763
5.1,101.754
5.2,101.771
5.3,101.766
5.4,101.779
5.5,101.776
5.6,101.772
5.7,101.784
5.8,101.789
5.9,101.79
6,101.79
6.1,101.793
6.2,101.792
6.3,101.796
6.4,101.798
6.5,101.8
6.6,101.801
6.7,101.759
6.8,101.804
6.9,101.805
7,101.806
7.1,101.806
7.2,101.807
7.3,101.81
7.4,101.809
7.5,101.811
7.6,101.813
7.7,101.813
7.8,101.814
7.9,101.817
8,101.815
8.1,101.816
8.2,101.816
8.3,101.819
8.4,101.819
8.5,101.818
8.6,101.82
8.7,101.822
8.8,101.823
8.9,101.823
9,101.823
9.1,101.824
9.2,101.824
9.3,101.826
9.4,101.825
9.5,101.825
9.6,101.826
9.7,101.825
9.8,101.828
9.9,101.824
10,101.829
10.1,101.826
10.2,101.829
10.3,101.83
10.4,101.831
10.5,101.83
10.6,101.831
10.7,101.832
10.8,101.831
10.9,101.833
11,101.831
11.1,101.833
11.2,101.833
11.3,101.834
11.4,101.834
11.5,101.835
11.6,101.836
11.7,101.836
11.8,101.836
11.9,101.836
