time_s,totalThroughputMbps
0,0
0.5,0
1,0
1.5,0
2,0
2.5,58.6079
3,58.6794
3.5,58.7024
4,58.7149
4.5,58.7214
5,58.7262
5.5,58.73
6,58.732
6.5,58.7344
7,58.733
7.5,58.7371
8,58.7382
8.5,58.739
9,58.7399
9.5,58.7405
10,58.7411
10.5,58.7416
11,58.7422
11.5,58.7426
12,58.7429
12.5,58.7433
13,58.7436
13.5,58.7438
14,58.7436
14.5,58.7443
15,58.7446
15.5,58.7447
16,58.7449
16.5,58.7451
17,58.7453
17.5,58.7454
18,58.7456
18.5,58.7457
19,58.7458
19.5,58.7455
20,58.7455
20.5,58.7463
21,58.7462
21.5,58.7464
22,58.7465
22.5,58.7465
23,58.7467
23.5,58.7468
24,58.7468
24.5,58.7468
25,58.7469
25.5,58.747
26,58.7471
26.5,58.7471
27,58.7472
27.5,58.7472
28,58.7472
28.5,58.7473
29,58.7474
29.5,58.7474
30,58.7475
30.5,58.7473
31,58.7476
31.5,58.7476
32,58.7476
32.5,58.7477
33,58.7477
33.5,58.7478
34,58.7478
34.5,58.7478
35,58.7477
35.5,58.7479
36,58.7479
36.5,58.748
37,58.748
37.5,58.748
38,58.748
38.5,58.7481
39,58.7481
39.5,58.7481
40,58.7481
40.5,58.7482
41,58.7482
41.5,58.7482
42,58.7482
42.5,58.7483
43,58.748
43.5,58.7483
44,58.7483
44.5,58.7483
45,58.7483
45.5,58.7484
46,58.7484
46.5,58.7484
47,58.7484
47.5,58.7485
48,58.7485
48.5,58.7485
49,58.7485
49.5,58.7485
50,58.7485
50.5,58.7485
51,58.7486
51.5,58.7486
52,58.7486
52.5,58.7486
53,58.7486
53.5,58.7486
54,58.7486
54.5,58.7486
55,58.7487
55.5,58.7487
56,58.7487
56.5,58.7487
57,58.7487
57.5,58.7487
58,58.7487
58.5,58.7487
59,58.7488
59.5,58.7487
60,58.7488
60.5,58.7488
61,58.7488
61.5,58.7488
